Term (EN),Description (EN),Rmk,JP Glossary,KR Glossary,Category,Feature,Marketing Reference,Changed,Changes,Status,
  ▌ General,,,,,,,,,,,
Beamo,"An enterprise-grade digital twin solution for mission critical facilities and sites. Capture, augment, collaborate in 360°.",,Beamo,Beamo,General,,,,,✅ Confirmed,
Beamo Portal,A digital twin platform for collaboration.,,Beamo ポータル,Beamo 포털,General,,,,,✅ Confirmed,
Beamo App,"A capture app to capture any space in 360° and create digital twins in minutes, no expertise required.",,Beamoアプリ,Beamo앱,General,,,,,✅ Confirmed,
Space,Space represents the highest level of data structure and is where all sites are created and maintained.,,スペース,스페이스,General,,,,,✅ Confirmed,
Survey,"A set of 360° images and data (tag, comment, measurements, tracking tours).",,サーベイ,서베이,General,,,,,✅ Confirmed,
Point,"Point = photo + location + position info. ❌ 360 photo, 360 image",,ポイント,포인트,General,,,,,✅ Confirmed,
Digital Twin,,,デジタルツイン,디지털 트윈,General,,,,,✅ Confirmed,
Beamo Pathfinder,Upgraded version of the mobile app.,,Beamo Pathfinder,Beamo Pathfinder,General,,,,,✅ Confirmed,
Notification,"A feature to notify users when mentioned in comments, tags, or guided paths.",,通知,알림,General,,,,,✅ Confirmed,
Header,Top bar where all the buttons are located globally.,,ヘッダー,헤더,General,,,,,✅ Confirmed,
360° image,"A panoramic 360° photo. ❌ scene, image",,360° 画像,360도 이미지,General,,,,,✅ Confirmed,
mission-critical facilities,,,ミッションクリティカルな施設,미션 크리티컬 시설,General,,,,,✅ Confirmed,
our company,Terms can be replaced with 3i depending on the situation.,,弊社,당사,General,,,,,✅ Confirmed,
  ▌ Home and Site  ,,,,,,,,,,,
Home,The first screen where a user can search site on list and map.,,ホーム,홈,Home and Site,Home,Site Map,14 Feb 2022,Marketing Term: Site Map,✅ Confirmed,
Side Panel (Home),A bar where site profile and site list will display.,,サイドパネル,사이드패널,Home and Site,Home,,,,✅ Confirmed,
Bookmark,User can set their unique bookmark to pin the site.,,ブックマーク,즐겨찾기,Home and Site,Home,,,,✅ Confirmed,
Settings (Home),"Button to access user management, site management, data management.",,設定,세팅,Home and Site,Home,,,,✅ Confirmed,
Profile icon,"Button to access my profile setting, switch spaces, and log out.",,プロフィールアイコン,프로필 아이콘,Home and Site,Home,,,,✅ Confirmed,
Support Center,Support Center button where user can access Beamo Support Center.,,サポートセンター,서포트 센터,Home and Site,Home,,,,✅ Confirmed,
Map,A map to view all your sites.,,マップ,맵,Home and Site,Map,,,,✅ Confirmed,
Pin,Site indicator on the map.,,ミニピン,핀,Home and Site,Map,,,,✅ Confirmed,
GPS icon,A button to display your current location.,,GPS アイコン,GPS 아이콘,Home and Site,Map,,,,✅ Confirmed,
Zoom In (Home),A button to zoom in the map.,,ズームイン,확대,Home and Site,Map,,,,✅ Confirmed,
Zoom Out (Home),A button to zoom out the map.,,ズームアウト,축소,Home and Site,Map,,,,✅ Confirmed,
Search bar,A bar that user can search for building name and address.,,検索バー,검색창,Home and Site,Site List,,,,✅ Confirmed,
Sort,"A button to select the sorting options (name, last captured, most survey).",,ソート,정렬,Home and Site,Site List,,,,✅ Confirmed,
Filter,Filter setting UI where users can set filters for refine search.,,フィルター,필터,Home and Site,Site List,Filter & Bookmark,,,✅ Confirmed,
Team Selector (Home),Selector to choose the team to browse sites.,,チームセレクター,팀 선택창 ,Home and Site,Site List,,,,✅ Confirmed,
Site Profile,A high-level view of the site acting as a hub to navigate Beamo.  It will be replaced with Site Detail in Beamo 3.0.,,サイトプロフィール,사이트 프로필,Home and Site,Site Profile -> Site Detail (Beamo 3.0),,14 May 2026,Beamo 3.0 Release ,✅ Confirmed,
Site Overview,"Basic information like address, labels and thumbnail.",,サイトオーバービュー,사이트 개요,Home and Site,Site Profile -> Site Detail (Beamo 3.0),,14 May 2026,Beamo 3.0 Release ,✅ Confirmed,
Thumbnail,A image of the site.,,サムネイル,썸네일,Home and Site,Site Profile -> Site Detail (Beamo 3.0),,14 May 2026,Beamo 3.0 Release ,✅ Confirmed,
Gallery,A gallery where user can view uploaded photos of their sites.,,ギャラリー,갤러리,Home and Site,Site Profile -> Site Detail (Beamo 3.0),,14 May 2026,Beamo 3.0 Release ,✅ Confirmed,
Additional Info,A box where the Gallery and Information tabs locate.,,追加情報,추가 정보,Home and Site,Site Profile -> Site Detail (Beamo 3.0),,14 May 2026,Beamo 3.0 Release ,✅ Confirmed,
Gallery Mode,A mode displaying only the floor plans in a gallery view.,,ギャラリーモード,갤러리 모드 ,Home and Site,Site Profile -> Site Detail (Beamo 3.0),,14 May 2026,Beamo 3.0 Release ,✅ Confirmed,
Hybrid Mode,A mode displaying your list of floors to the left and your floor plan to the right.,,ハイブリッドモード,하이브리드 모드 ,Home and Site,Site Profile -> Site Detail (Beamo 3.0),,14 May 2026,Beamo 3.0 Release ,✅ Confirmed,
List Mode,A mode displaying only the floor name and description in a list view.,,リストモード,목록 모드 ,Home and Site,Site Profile -> Site Detail (Beamo 3.0),,14 May 2026,Beamo 3.0 Release ,✅ Confirmed,
Plan View,A viewer where your floors are visualized.,,フロアービュー,플로어 뷰 ,Home and Site,Site Profile -> Site Detail (Beamo 3.0),,14 May 2026,Beamo 3.0 Release ,✅ Confirmed,
3D Workspace icon,A button to access the 3D workspace.,,３Dワークスペースアイコン,3D 워크스페이스 아이콘,Home and Site,Site Profile -> Site Detail (Beamo 3.0),,14 May 2026,Beamo 3.0 Release ,✅ Confirmed,
View Option icon,"A button to select the viewing option (tag, point, annotation) of the floorplan.",,ビューオプションアイコン,보기 옵션 아이콘,Home and Site,Site Profile -> Site Detail (Beamo 3.0),,14 May 2026,Beamo 3.0 Release ,✅ Confirmed,
  ▌ Site Management,,,,,,,,,,,
Site,Sites are the building block of Beamo and are required in order for the platform to be used.,,サイト,사이트,Site Management,Site,,,,✅ Confirmed,
Site Management,"A feature to manage sites (create/delete/edit sites, set filter, create labels).",,サイトマネージメント,사이트 관리,Site Management,Site,Pro Site Management / Enterprise Site Management,14 Feb 2022,Marketing terms,✅ Confirmed,
Survey Group,A group of surveys.,,サーベイグループ,서베이 그룹,Site Management,Survey,,,,✅ Confirmed,
Survey List,"Floor and survey lists where user create survey (survey group), delete or duplicate the survey.",,サーベイリスト,서베이 목록,Site Management,Survey,,,,✅ Confirmed,
Plan,A type of drawing that shows you the layout of a site from above.,,フロアプラン,도면,Site Management,Plan,,14 Feb 2022,Added,✅ Confirmed,
Plan Manager,"A floor plan editor in the floor setting UI, where user upload, edit the master plan.",,フロアプランマネジャー,도면 관리,Site Management,Plan,,14 Feb 2022,Added,✅ Confirmed,
Annotation,Plan editing tool.,,注釈,주석,Site Management,Plan,,14 Feb 2022,,✅ Confirmed,
Scale,To scale the floor plan by clicking 2 points.,,スケーリング（縮尺）,비율 측정,Site Management,Plan,,,,✅ Confirmed,
Rotate,Floor plan editing tool.,,回転,회전 ,Site Management,Plan,,,,✅ Confirmed,
Label Category,A group of labels set by users.,,ラベルカテゴリー,라벨 항목,Site Management,Labels,,,,✅ Confirmed,
Labels (Tab),UI where the Super Admin and Site Manager add labels to the sites.,,ラベル（タブ）,라벨,Site Management,Labels,,,,✅ Confirmed,
Plans（Tab),UI where Super Admin and Site Manager create/delete/edit floors.,,フロア（タブ）,층,Site Management,Plan,,,,✅ Confirmed,
Survey Browser,A UI that indicates the date survey was conducted with an expandable date list.,,履歴,서베이 기록,Site Management,Survey,,,,✅ Confirmed,
  ▌ User Management,,,,,,,,,,,
Super Admin,Super Admin has the highest level of access to the Beamo Space.,,スーパーアドミン,최고 관리자,User Management,Roles,,,,✅ Confirmed,
Site Manager,Site Managers manage site access control for all teams.,,サイトマネージャー,사이트 관리자,User Management,Roles,,,,✅ Confirmed,
Team Admin,Team Admin is the highest level user within a single team.,,チームアドミン,팀 관리자,User Management,Roles,,,,✅ Confirmed,
Collaborator,"Collaborators can view, edit, and delete tags, measurements, and tracking tours.",,コラボレーター,협력자,User Management,Roles,,,,✅ Confirmed,
Surveyor,Surveyors are responsible for capturing new sites.,,サーベイヤー,촬영 담당자,User Management,Roles,,,,✅ Confirmed,
Viewer (Role),Viewers are users that have view-only access.,,ビューアー,열람자,User Management,Roles,,,,✅ Confirmed,
Team User,Team Users exist within a specific team assigned to them.,,チームユーザー,팀 사용자,User Management,Roles,,,,✅ Confirmed,
Pro Surveyor,A license type required to access BeamoBox features.,,プロサーベイヤー,프로 서베이어,User Management,Roles,,14 May 2026,🆕 v3.0.0 — confirm license tier name,✅ Confirmed,
User Management,"A feature to manage users (RBAC, create teams, manage team permissions).",,ユーザーマネージメント,사용자 관리,User Management,Teams,,,,✅ Confirmed,
Team,A team given access to any level of the site hierarchy.,,チーム,팀,User Management,Teams,,,,✅ Confirmed,
Team Profile,"Setting UI where super admin/team admin invite users, add labels, and set permissions.",,チーム プロフィール,팀 프로필,User Management,Teams,,,,✅ Confirmed,
Team Management,"Ability to create, manage teams and their users and permissions.",,チームマネージメント,팀 관리,User Management,Teams,,14 Feb 2022,Added,✅ Confirmed,
Members (Tab),Member setting UI where super admin and team admin invite users.,,メンバー（メンバータブ）,멤버 목록,User Management,Teams,,,,✅ Confirmed,
Permission (Tab),Permission Setting UI where team can be given access to any level of the site hierarchy.,,権限（権限タブ）,권한,User Management,Permissions,,,,✅ Confirmed,
Role Management,Ability to assign different roles to a user.,,ロールマネージメント,사용자 권한,User Management,Permissions,,14 Feb 2022,Added,✅ Confirmed,
Role Base Access Control,Beamo utilizes a RBAC system to manage user access permissions.,,ロールベースアクセス制御,역할 기반 접근 제어,User Management,Permissions,,,,✅ Confirmed,
User Types,"Super Admin, Site Manager, Team Users (Team Admin, Surveyor, Collaborator, Viewer).",,ユーザータイプ,사용자 유형,User Management,Permissions,,,,✅ Confirmed,
User Role,A role permission.,,ユーザーロール,사용자 역할,User Management,Permissions,,,,✅ Confirmed,
Permissions,Beamo utilizes a RBAC system to define permission controls.,,権限,권한,User Management,Permissions,,,,✅ Confirmed,
